team,season,xgf60,xga60,ev_xgf60,ev_xga60,pp_xgf60,pp_xga60,pk_xgf60,pk_xga60,hdf,hda,hdf_percent,xgoals_percentage,corsi_percentage,fenwick_percentage,penalties_drawn_per60,penalties_taken_per60,penalty_diff,gsa_per60,save_percent,hd_save_percent
ANA,2019,2.4969769641946424,2.7643900786806874,2.1282964596466836,2.372156571346389,5.130201782687155,0.9272160551211243,1.378283526534085,6.343932787408274,55.76,59.74,0.48277056277056274,0.47,0.49,0.49,3.700055672133956,3.307625525089445,0.39243014704451085,-0.3470203728865027,0.9014647137150467,0.627906976744186
EDM,2019,2.8446182740527037,2.820361298816969,2.277354073850336,2.3869402703314964,8.741708197284757,0.9960474308300395,0.5027345616736579,5.891360909042638,79.28,68.51,0.5364368360511536,0.5,0.47,0.48,3.0809146707456385,3.053033090014909,0.02788158073072955,-0.16296783937111542,0.9051838723969872,0.6321243523316062
VAN,2019,2.827545324702709,2.9310969035579446,2.4407366009336484,2.592406394934225,6.09172290318138,0.8312904558600743,0.4751103974307507,5.887394620634284,71.44,68.39,0.510906100264607,0.49,0.49,0.49,3.4660417818764846,3.7095240558099567,-0.2434822739334721,-0.09094779055750271,0.9069664902998237,0.6464646464646464
DET,2019,2.359743306866386,3.270833009618223,2.0279126744542153,2.520015750098438,4.77482599745123,1.3939809822566416,1.0039097461020303,8.372132460313722,52.63,94.15,0.35856383703501843,0.42,0.46,0.46,3.4401852168373295,3.2723713038208744,0.1678139130164551,-0.43505756949516,0.8862660944206009,0.578512396694215
TBL,2019,2.9938135583234153,2.751729257744836,2.609495460634023,2.2222949843726747,6.45606138107417,1.3589769820971866,1.0504292348829574,6.91222967584557,70.54,63.34,0.5268897520167315,0.52,0.51,0.51,3.832058729952983,3.7472161012455367,0.08484262870744619,0.03676513910655991,0.9102803738317757,0.655367231638418
CHI,2019,2.8319770674895635,3.1226748329795817,2.3840544575606426,2.694093870164035,5.902718734552645,1.0588235294117647,1.1456846710766186,6.028438981196937,68.37,80.77,0.4584283223816549,0.48,0.49,0.48,3.2143108890263865,3.3411915820142704,-0.12688069298788385,0.1057339108232364,0.9129727531516877,0.6888888888888889
NYI,2019,2.5879988261731235,2.687420354640435,2.227844186967908,2.263154334528377,5.806160215795747,0.8965560504359826,1.0319590143937545,6.382776286899244,58.8,62.18,0.4860307488841131,0.49,0.47,0.47,2.966726831994018,2.9377831555843206,0.028943676409697527,-0.0622289042808503,0.9104196133899104,0.6529411764705882
COL,2019,2.687213516892184,2.6661267876939045,2.331050399388553,2.256597779009996,5.485729793296847,0.8890497082636031,0.5931893079458074,6.4648218862792275,55.41,64.62,0.46163459135216195,0.5,0.51,0.51,3.438976641061727,3.8918459929710902,-0.45286935190936317,-0.008632822020772429,0.9138166894664843,0.6736842105263158
NYR,2019,2.7395857575052363,3.149394729472277,2.2392011768376943,2.5744216110194804,6.835311143270622,1.015918958031838,0.9177464788732395,7.144225352112676,64.57,77.93,0.4531228070175438,0.47,0.47,0.47,3.9475708318377425,3.8481715662878715,0.099399265549871,0.02541781219060981,0.9076406381192276,0.6818181818181819
MIN,2019,2.692820150940688,2.600389910177134,2.383269059626224,2.1089884307327202,5.246814120404277,0.7224256628094332,0.5867538838920687,6.687816843826655,59.2,64.08,0.4802076573653472,0.51,0.49,0.5,3.3584901147005706,3.5881304644236867,-0.2296403497231161,-0.5141073329426257,0.89730241362991,0.5574712643678161
